anchor,representative,loss,rho,dataset,n_seeds,ndcg_at_5_mean,ndcg_at_5_std,recall_at_1_mean,recall_at_1_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,flip_rate_mean,flip_rate_std,reversal_rate_mean,reversal_rate_std,margin_abs_err_mean,margin_abs_err_std,score_abs_err_mean,score_abs_err_std,pos_score_abs_err_mean,pos_score_abs_err_std,ms_per_doc_mean,ms_per_doc_std,peak_mem_mb_mean,peak_mem_mb_std
coverage,learned,margin,0.05,flickr,3,0.8863,0.0031,0.7922,0.0031,0.9622,0.0031,0.97,0.0,0.0032,0.0002,0.0029,0.0002,0.7977,0.0031,1.7493,0.0338,2.1995,0.0219,69.9313,0.5502,145.1,0.0
coverage,learned,margin,0.05,infovqa,3,0.8903,0.0018,0.8267,0.0,0.94,0.0054,0.96,0.0054,0.0078,0.0006,0.0071,0.0005,0.9866,0.0126,1.5191,0.0075,2.2128,0.0127,1168.1983,9.5406,3519.3,0.0
coverage,learned,margin,0.05,tabfquad,3,0.9155,0.0007,0.8571,0.0,0.9643,0.0,1.0,0.0,0.0089,0.0005,0.0089,0.0005,1.0882,0.0105,2.13,0.0084,2.9297,0.0145,446.039,35.1962,128.1,0.0
coverage,learned,margin,0.05,tatdqa,3,0.8876,0.001,0.8112,0.0016,0.9485,0.0009,0.9625,0.0009,0.0081,0.0002,0.004,0.0001,0.6841,0.0049,1.4719,0.0219,1.8628,0.0251,1774.795,17.0139,1336.6,0.0
coverage,learned,margin,0.1,arxivqa,3,0.9323,0.0014,0.9022,0.0031,0.96,0.0,0.98,0.0,0.0025,0.0,0.0018,0.0,0.466,0.0046,1.3841,0.0055,1.3698,0.0076,1266.2613,3.1578,1083.4,0.0
coverage,learned,margin,0.1,docvqa,3,0.7028,0.0013,0.6222,0.0031,0.7622,0.0031,0.7867,0.0054,0.0454,0.0029,0.0262,0.0031,0.4323,0.0059,0.5221,0.0018,0.7911,0.0074,1702.962,6.357,3152.2,0.0
coverage,learned,margin,0.1,flickr,3,0.9176,0.0018,0.8489,0.0031,0.9689,0.0016,0.9833,0.0,0.0015,0.0,0.0012,0.0,0.5319,0.0036,1.1816,0.0325,1.3818,0.0266,101.9567,3.1061,148.6,0.0
coverage,learned,margin,0.1,infovqa,3,0.9259,0.0011,0.8756,0.0031,0.9622,0.0031,0.9733,0.0054,0.0027,0.0006,0.0015,0.0006,0.7391,0.0149,1.2009,0.006,1.603,0.0147,1267.8363,6.2112,3541.9,0.0
coverage,learned,margin,0.1,tabfquad,3,0.9307,0.0013,0.877,0.0056,0.9762,0.0,1.0,0.0,0.006,0.0,0.0048,0.0,0.6892,0.0078,1.565,0.014,1.9658,0.0137,526.5967,11.554,129.3,0.0
coverage,learned,margin,0.1,tatdqa,3,0.8919,0.0004,0.8159,0.0009,0.9518,0.0,0.9645,0.0009,0.0079,0.0001,0.0037,0.0001,0.64,0.0049,1.2472,0.0171,1.6029,0.0191,1859.5413,11.0372,1343.7,0.0
coverage,learned,score_reconstruction,0.05,arxivqa,3,0.9223,0.0015,0.8822,0.0031,0.9533,0.0054,0.98,0.0,0.003,0.0001,0.0021,0.0001,0.5787,0.011,1.5929,0.0179,1.7063,0.0334,1198.5043,7.2911,1061.4,0.2828
coverage,learned,score_reconstruction,0.05,docvqa,3,0.6865,0.0019,0.6111,0.0031,0.7489,0.0031,0.8,0.0054,0.0512,0.0036,0.0275,0.0032,0.5969,0.0266,0.5715,0.0105,1.0201,0.038,1621.6237,8.1775,3141.5,0.0
coverage,learned,score_reconstruction,0.05,flickr,3,0.8835,0.0019,0.7911,0.0042,0.9611,0.0031,0.9767,0.0,0.0029,0.0001,0.0027,0.0001,0.8033,0.0016,1.519,0.0189,1.9999,0.0153,70.2217,0.5694,145.1,0.0
coverage,learned,score_reconstruction,0.05,infovqa,3,0.8898,0.0022,0.8267,0.0054,0.9378,0.0031,0.9556,0.0031,0.0094,0.0013,0.0087,0.0013,1.0764,0.0085,1.3633,0.0134,2.1961,0.0194,1176.9707,20.4415,3519.3,0.0
coverage,learned,score_reconstruction,0.05,tabfquad,3,0.9219,0.0021,0.873,0.0056,0.9643,0.0,1.0,0.0,0.0091,0.0007,0.0081,0.0003,1.1988,0.013,1.87,0.0105,2.8112,0.0204,424.8223,5.662,128.4333,0.4714
